Boucher, (Jean-Jacques), Histoire du Loir-et-Cher à travers son Conseil Général de 1790 à nos jours, Paris, Ed. Lanore, Sorlot, 1984, 238 p. C 321;;;;;;;;
Auteurs - Titres - Editeurs - Année;cote;Nb ex sup;année entrée ;Provenance;lieu-personnage;mot clé 1;mot clé 2;
Champion (Pierre), Agnès Sorel, la dame de Beauté, Paris, Lib. Ancienne Honoré Champion, 1931, 205 p., C 3674;C 3674;;2018;don Leveel;Touraine;Agnès Sorel;;
Boussard (Jacques), Le gouvernement d' Henri II Plantagenêt,Paris, Lib. d'Argences, 1956, I-LXVIII, 687 p., 19 pl. h.-t., C 3673;C 3673;;2018;don Leveel;Touraine;Plantagenêts;;
[Coll.], Histoire de l'Université de Poitiers Passé et Présent (1432-1932), Poitiers, Impr. moderne Nicolas Renault et Cie, 1932, 573 p., C 3672;C 3672;;2018;don Leveel;Touraine;université;;
Trenard (Louis, dir.), Histoire des Pays-Bas français, Toulouse, Edouard Privat, 1972, 582 p., C 3671;C 3671;;2018;don Leveel;histoire;Flandres;;
Barbier (Jean), Jean-Marie de Maillé, Le Château-d'Olonne, ed. Castel, 1993, 134p C 3670;C 3670;;2018;don Pasquier;;;;
Vallas (Maurice), La coutume de Blois, Paris, éd Lanore Sorlot, 1987, 253p, C 3669;C 3669;;2018;achat 05/2018;;;;
Croix (Alain), Guyvarc'h (Didier), Guide de l'histoire locale, Paris, Edition du Seuil, 1990, 348 p. C 3668;C 3668;;2018;don Leveel;;;;
Morancé (Léon, abbé), La vallée du Loir, de Château-du-Loir à Vendôme, Paris, Gaston Née, 1892, 204 p. C 3667;C 3667;;2018;don Leveel;;;;
Lévêque (G.), Recherches sur l'origine des Gaulois, Paris, Impr. Adolphe Lainé, 1869, I-VIII, 174 p., C 3666;C 3666;;2018;don Leveel;Touraine;Gaulois;;
Pilté (E.), Petit répertoire archéologique des édifices religieux du diocèse actuel de Blois et des monuments civils du département de Loir et Cher à partir du moyen âge, Saint-Dizier, André Brulliard, 1931, 268 p., C 3665;C 3665;;2018;don Leveel;Loir-et-Cher;églises;;
Collon (M.), Catalogue général des manuscrits des bibliothèques publiques de France -départements tome XXXVII -Tours- première partie, Paris, Plon, 1900, I-XVI, 656 p., C 3664;C 3664;;2018;don Leveel;Tours;bibliothèque;;
Hubert (Eugène), Dictionnaire historique géographique et statistique de l'Indre, Châteauroux, L. Babel, Paris, A. Picard, 1889, 210 p., C 3663;C 3663;;2018;don Leveel;Berry;dictionnaire;;
Aubin (V.R), La Touraine pendant la guerre 1870-1871, 1ère partie  Tablettes chronologiques, Lille, Taffin-Lefort, 1902, 188 p., C 3662;C 3662;;2018;don Leveel;Tours;guerre 1870;;
Babonaux (Yves), Villes et régions de la Loire moyenne, Touraine, Blésois, Orléanais,S.A.B.R.I, 1966, 736 p., C 3661;C 3661;;2018;don Leveel;Touraine;géographie;;
Belloc (Hilaire), Richelieu 1585-1642, Paris, Payot, 1933, 335 p., C 3660;C 3660;;2018;don Leveel;Touraine;Richelieu;;
Dion (Roger), Histoire de la vigne et du vin en France, des origines au XIXè siècle, Paris, Dion, 1959,  756 p., C 3659;C 3659;;2018;don Leveel;Touraine;vins;;
Duchesne (L), L'église au VIè siècle, Paris, de Boccard, 1925, 663 p., C 3658;C 3658;;2018;don Leveel;Touraine;religion;;
Brackenhoffen (Elie), Voyage en France 1643-1644, Nancy-Paris-Strasbourg, Berger-Levrault, 1925, 263p., C 3657;C 3657;;2018;don Leveel;Touraine;description;;
Pradel (Pierre), Michel Colombe, Le dernier imagier gothique, Paris, Plon, 1953, 157p., C 3656;C 3656;;2018;don Leveel;Tours;;;
Longnon (Auguste), La formation de l'unité française, Paris, Picard Auguste,1922, 460p., C 3655;C 3655;;2018;don Leveel;géographie historique;;;
Besse (J.M) dom, Abbayes et prieurés de l'ancienne France, Tome 8 : Province écclésiastiques de Tours, Paris, Picard et fils, 1920, 368p., C 3654;C 3654;;2018;don Leveel;Tours;religion;;
[Coll.], Etudes mérovingiennes, Actes des Journées de Poitiers,Paris, Picard et cie, 1953, 292p., C 3653;C 3653;;2018;don Leveel;Touraine;HMA;;
Guenée (Simonne), Les universités françaises, des origines à la révolution, Paris, Picard, 1982, 143p., C 3652;C 3652;;2018;don Leveel;histoire;université;;
Chevalier (C), Charlot (G), Etudes sur la Touraine (hydrographie, géologie, agronomie, statistique), Tours, Guilland-Verger, 1858, 391p.,, C 3651;C 3651;;2018;don Leveel;Touraine;géographie;;
Tourlet (E.-H.), Histoire du collège de Chinon, Chinon, Imprimerie Delaunay-Dehaies, 1904, 246 p., C 3650;C 3650;;2018;don Leveel;Touraine;Chinon;;
Pépin (Eugène), Les Haulte et Basse Forestz de Chinon des origines au XVIe siècle, Paris, Lucien Laveur, éd., 1911, 233 p., I-XXIII, C 3649;C 3649;;2018;don Leveel;histoire;Chinon;;
Duchesne (L), Fastes épiscopaux de l'ancienne Gaule, tome 2 : l'Aquitaine et les Lyonnaises, Paris, ed. Fontemoing & Cie, 1910, 488 p., C 3648;C 3648;;2018;don Leveel;Touraine;religion;;
Chaussy dom (Yves), Les Bénédictins anglais réfugiés en France au XVIIe siècle (1611-1669), Paris, P. Lethielleux, 1967, 254 p., C 3647;C 3647;;2018;don Leveel;histoire;religion;;
Audard (L'abbé E.), Collection générale des actes des martyrs de la Révolution, 3, Tours, Œuvre des martyrs, 1923, 209 p., C 3646;C 3646;;2018;don Leveel;Touraine;religion;;
Déchelette (Joseph), Manuel d'archéologie préhistorique celtique et gallo-romaine, VI, archéologie gallo-romaine par Albert Grenier, 2ème partie : l'archéologie du sol* les routes, Paris, Picard, 1934, 468 p., C 3645;C 3645;;2018;don Leveel;Préhistoire protohistoire;;;
Caron (Pierre), Manuel pratique pour l'étude de la Révolution française, Paris, éd. A. et J. Picard & Cie, 1947, 324 p., C 3644;C 3644;;2018;don Leveel;méthodologie histoire;révolution 1789;;
Faye (H.), La Révolution au jour le jour en Touraine, Angers, impr. Germain et Grassin, 1906, 335 p., C 3643;C 3643;;2018;don Leveel;Touraine;révolution 1789;;
Mirot (Albert), Manuel de géographie historique de la France, tome second : les divisions religieuses et administratives de la France, éd. A. et J. Picard & Cie, 1950, de 310 à 620 p.,  C 3642;C 3642;;2018;don Leveel;géographie historique;religion administration;;
Mirot (Léon), Manuel de géographie historique de la France, Ouvrage posthume revu et publié par Albert Mirot, tome 1er : l'unité française, Paris, éd. A. et J. Picard & Cie, 1948, 304 p., C 3641;C 3641;;2018;don Leveel;géographie historique;;;
Déchelette (Joseph), Manuel d'archéologie préhistorique celtique et gallo-romaine, VI, archéologie gallo-romaine par Albert Grenier, 2ème partie : l'archéologie du sol* Navigation - Occupation du sol, Paris, Picard, 1934, 468 p., C 3640;C 3640;;2018;don Leveel;Préhistoire protohistoire;;;
Déchelette (Joseph), Manuel d'archéologie préhistorique celtique et gallo-romaine, V, archéologie gallo-romaine par Albert Grenier, première partie : Généralités - Travaux militaires, Paris, Picard, 1931, 620 p., C 3639;C 3639;;2018;don Leveel;Préhistoire protohistoire;;;
Grenier (Albert), Manuel d'archéologie gallo-romaine, 4e partie : les monuments des eaux, 2,  Ville d'eau et sanctuaire de l'eau , Paris, éd. A. et J. Picard et Cie, 1960, de 400 à 978 p., C 3638;C 3638;;2018;don Leveel;archéologie GR;architecture;;
Grenier (Albert), Manuel d'archéologie gallo-romaine, 4e partie : les monuments des eaux, 1,  Acqueducs, Thermes , Paris, éd. A. et J. Picard et Cie, 1960, 399 p., C 3637;C 3637;;2018;don Leveel;archéologie GR;architecture;;
Grenier (Albert), Manuel d'archéologie gallo-romaine, 3e partie : l'architecture, 2, ,Théâtres, Amphithéâtres, Cirques,Paris, éd. A. et J. Picard et Cie, 1958, de 570 à 1021 p., C 3636;C 3636;;2018;don Leveel;archéologie GR;architecture;;
Grenier (Albert), Manuel d'archéologie gallo-romaine, 3e partie : l'architecture, 2,  Capitole, Forum, Temple, Basilique, Paris, éd. A. et J. Picard et Cie, 1958, 560 p., C 3635;C 3635;;2018;don Leveel;archéologie GR;architecture;;
Bosseboeuf (Louis), Le Coudray-Montpensier, l'Abbaye de Seuilly et les environs, Tours, Imprimerie Paul Bousrez, 1900, 260 p., C 3634;C 3634;;2018;don Leveel;Touraine;Seuilly;;
Duchesne (L), Les anciens catalogues épiscopaux de la province de Tours, Paris,  Ernest Thorin ed., 1890, 102 p.,  C 3633;C 3633;;2018;don Leveel;Touraine;religion;;
Fourault (J.-B.), Fleurs des Saints de Touraine, Paris, Lethielleux, 1907, 226 p., C 3632;C 3632;;2018;don Leveel;Touraine;religion;;
Letort (Paul), (trad.), Cartulaire de Noyers, s.l., s.d., non paginé, C 3631;C 3631;;2018;don Leveel;Touraine;Noyers;;
Caisso (René), La vente des biens nationaux de première origine dans le district de Tours (1790-1822), Paris, 1967, 385 p., C 3630;C 3630;;2018;don Leveel;Touraine;1789;;
Debré (Michel), Bernard (Jean), Discours de réception à l'Académie française et réponse, Paris, Albin Michel, 1989, 111 p., C 3629;C 3629;;2018;don Leveel;Touraine;biographie;;
Tournerie (Jean-André), Le Présidial de Tours, Tours, Faculté des sciences juridiques et économiques, 1975, 125 p., C 3628;C 3628;;2018;don Leveel;Tours;institution;;
Caisso (René), La vente des biens nationaux de seconde origine et les mutations foncières dans le district de Tours (1792-1830), Paris, 1977, 222 p., C  3627 exemplaires cf ligne215;C 3627;;2018;don Leveel;Touraine;1789;;
Dion (Roger), Le paysage et la vigne : essai de géographie historique, Paris, Payot, 1990, 295 p., C 3626;C 3626;;2018;don Leveel;géograohie historique;vigne;;
Maan (Jean), trad. de Paul Letort, Histoire de l'église de Tours + index des personnes et des lieux, Saint-Quentin sur Indrois, éd. du Python,  2000, 160 p., C 3625 (1) (2);C 3625 (1) (2);;2018;don Leveel;Tours;religion;;
Bourreau (Colette), Lecoq (Jeannine), Pointeau (Sandrine), Noizay, au fil du temps, Noizay, Editions collectif association Noizay, 2000, 326p, C 3624;C 3624;;2018;don Millet;;;;
[Anonyme], Concordance des  calendriers grégorien et républicains, Paris, Libr. Clavreuil, 1983, 84 p., C 3623;C 3623;;2018;don Leveel;histoire;1789;;
Gendron (Stéphane), Les rues de Loches et Beaulieu-lès-Loches, Chemillé sur Indrois, Hugues de Chivré ed, 2017, 314p + plan les rues de Loches, C 3622;C 3622;;2018;don Gendron;;;;
[collectif], 250 lieux, personnages, moments patrimoine en Beauce, Berry, Gâtinais, Perche, Sologne, Touraine, Tours, Presses Universitaires François Rabelais, 2018, 464p,, C 3621;C 3621;;2018;don Université;;;;
Brissaud (Yves-Bernard), Patrimoine de Poitiers, deux millénaires d'art et d'histoire, Poitiers, 1993, 254 p., C 3620;C 3620;;2018;don Leveel;Poitiers;patrimoine;;
Salmon (André), Recueil de chroniques de Touraine et supplément, Tours, Ladevèze, 1844, 491 p., C 3619;C 3619;;2018;don Leveel;Touraine;MA;;
Moisy (Pierre), Les églises des Jésuites de l'ancienne assistance de France, II Illustrations, Rome, Institutum Historicum, 1958, 580 p., C 3618;C 3618;;2018;don Leveel;histoire;Jésuites;;
Moisy (Pierre), Les églises des Jésuites de l'ancienne assistance de France, I Texte, Rome, Institutum Historicum, 1958, 580 p., C 3617;C 3617;;2018;don Leveel;histoire;Jésuites;;
Chevallier (Raymond) et al., Mélanges offerts à Roger Dion : Littérature gréco-romaine et géographie historique, in Caesarodunum, IX bis, Paris, Picard, 1974, 498 p., C 3616;C 3616;;2018;don Leveel;géographie historique;;;
Champion (Pierre), Ronsard et son temps, Paris, Libr. Honoré Champion, 1925, 508 p., C 3615;C3615;;2018;don Leveel;Ronsard;;;
Hubert-Pellier (Martine), Vivier (Jack), Favret (René), Sur les pas de Rabelais en Touraine et à Paris, Chambray-lès-Tours, CLD, 2001, 203 p. C 3614;C 3614;;;don Amis de Rabelais et la Devinière;Touraine;Rabelais;;
Dupé (André), Freyssinet (Michel), Vins, vignobles et vignerons de la vallée du Loir, Le Mans, éd, Cénomane, 1996, 191p,, C 3613;C 3613;;2018;achat 04.18;;;;
Hubert-Fillay, Val de Loire. Sous la futaie. Roman, Blois, éd. du Jardin de la France, n. d. [1926], 112 p. ex. numéroté, signé, C 3612;C 3612;;2018;achat 03.18;Sologne;vie rurale;;
Darcos (Xavier), Prosper Mérimée, Paris, Flammarion, 1998, 538 p. C 3611;C 3611;;2018;;histoire;patrimoine;;
Labande-Taillefert (Yvonne), Poitou roman, La pierre-qui-Vire, Zodiaque, 2e éd. 1972, 260 p., C 3610;C 3610;;2018;achat 03.18;Poitou;architecture romane;;
Vellin (Jacky), Dictionnaire des néologismes de Rabelais, Joué-lès-Tours, éd. La Simarre, 2017, 270 p., C 3609;C 3609;;2018;don Amis de Rabelais et la Devinière;Rabelais;langue;;
18 04 20 reprise MB;;;;;;;;
François-Leclanché (Xavier), Les gens de Villiers-sur-Tholon. Grande Guerre et après-guerre (1914-1939), préface de Daniel Schweitz, s. l., Perform éditeur, 2018, 338 p. C 3608;C 3608;;2018;don Schweitz;histoire;village 20e;;
Follain (Antoine), Le village sous l'Ancien Régime, s. l., Libraire Arthème Fayard, 2008, 609 p., C 3607;C 3607;;2018;achat 03.2018;histoire;village 17e-18e;;
Boulaire (Cécile), Le Moyen Âge dans la littérature pour enfants, Rennes, PUR, 2002, 344 p., C 3606;C 3606;;2018;achat 03.2018;histoire;littérature MA;;
Ducluzeau (Robert), Petite histoire de Angles-sur-l'Anglin, La Crèche, Geste éd., 2005, 101 p., C 3605;C 3605;;2018;achat 03.2018;Poitou;Angle-sur-L'Anglin;;
[Collectif], Le patrimoine des communes de Maine-et-Loire, Paris, Flohic, 2001, 2 t., 1383 p., C 3604;C 3604;;2018;don Pasquier;Anjou;patrimoine;;
Vray (Nicole), Les femmes dans l’Ouest au XIXe siècle, Rennes, éd. Ouest-France, 1990, 250 p., C 3603;C 3603;;2018;achat 02.18.;histoire;femmes 19e;;
Burguière (André), Bretons de Plozevet, Paris, Flammarion, 383 p., C 3602;C 3602;;2018;achat 02.18.;ethnologie;village;;
Weber (Eugen), Ma France. Mythe, culture, politique, Paris, Fayard, 1991, 478 p., C 3601 ;C 3601;;2018;achat 02.18.;histoire;société 19e;;
[Collectif], L’université d’0rléans, 1306-2006. Regards croisés sur une histoire singulière. Actes du colloque d’Orléans, 10 octobre 2006, Orléans, Presses universitaires d’Orléans, 2008, 165 p., C 3600 ;C 3600;;2018;achat 02.18.;Orléans;université;;
Chaudun (N.), Durand (J.-L.), Galard (G. de), Répertoire des manoirs de la Sarthe, XVe et XVIe siècles, s. l., éd. Nicilas Chzudun, 2013, 335 p., C 3599;C 3599;;2018;don Lejéau;Maine;châteaux;;
[Collectif], Le patrimoine des communes d'Indre-et-Loire, Paris, Flohic, 2001, 2 t., 1405 p. C 3598;;;2018;don Lejéau;Touraine;patrimoine;;
Beaulande (Claude), En quête du passé à Nançay en Sologne, s. l., l’auteur, n. d. [ca 1980], C 3597;C 3597;;2018;achat 01.18;Berry;Nançais;;
Fradet (Gilbert), Noms des métiers. Appellations de fonctions ou situations, Poitiers, Cercle généalogique poitevin, 2004, 223 p, C 3596;C 3596;;2018;achat 01.18;méthodologie histoire;noms métiers;;
Guédez (Annie), Compagnonnage et apprentissage, Paris, PUF, 1994, 195 p., C 3595;C 3595;;2018;achat 01.18;histoire;compagnonnage;;
"Dion-Salitot (Michèle), Dion (Michèle), La crise d'une société villageoise, ""les survivanciers"", les paysans du Jura français (1800-1970), Paris, éd. Anthropos, 1972, 399 p., C 3594";C 3594;;2018;achat 01.18;histoire;vie rurale;;
Hubert-Fillay, Jeunesse!.. Préface de Jacques-Marie Rougé […], Blois, éd. du Jardin de la France, 1934, 135 p., ex. numéroté, C 3593;C 3593;;2018;achat 01.18;Blois;régionalisme;;
[Collectif], Code typographique. Choix de règles à l'usage des auteurs et professionnels du livre, dixième édition, Paris, Syndicat national des cadres et maîtrises du livre, de la presse et des industries graphiques, 1971, 171 p., C 3592;C 3592;;2018;achat 01.18;manuel typographie;;;
Gonon (P.-M. éd.), La très curieuse et chevaleresque hystoire de la conqueste de naples par Charles VII […], Lyon, Librairie scientifique de C Savy, 1842, 196 p., C 3583;C 3583;;2017;don Leveel;histoire;Charles VIII;;
Chaix (abbé L.), Saint Sidoine Apollinaire et son siècle, Clermont-Ferrand, F. Thibaud impr.-libr., Paris, Ch. Dumoulin libr.1867, 2 t., VIII-462, 408 p., C 3582 1-2;C 3582 1-2;;2017;don Leveel;histoire;HMA;;
Poupot (abbé), Hincmar, archevêque de Reims. Sa vie, ses œuvres, son influence, Reims, impr. P. Dubois, 1869, 330 p., C 3581;C 3581;;2017;don Leveel;histoire;HMA;;
Fleury (Edouard de), Histoire de sainte radegonde, reine de France au VIe siècle et patronne de Poitiers, Poitiers, chez Henri oudin impr.-éd., Paris chez Th. Le Clerc jeune libr., 1843, 432 p., envoi à Chauveau, C 3580;C 3580;;2017;don Leveel;Poitiers;réligion;;
Bouloiseau (Marc), Buchoux (André), Les municipalités tourangelles de 1787. Commission d'histoire économique et sociale de la Révolution française, Mémoires et documents, XIII, Paris, Bibliothèque nationale, 1969, 150 p., C 3579;C 3579;;2017;don Leveel;géographie historique;;;
Castelot (André), L'histoire à table : si la cuisine m'était contée, Paris Librairie Plon et Librairie académique Perrin, 1972, 718 p., C 3578;C 3578;;2017;don Schweitz;histoire;alimentation;;
[Anonyme], Livret-guide officiel des chemins de fer Paris-Orléans Midi 1936, Paris, Guides Mayeux129 p., n. p., C 3577;C 3577;;2017;achat 12.17;touraine;guide touristique 1936;;
[Collectif], Evolution et éclatement du monde rural. Structures, fonctionnement et évolution différentielle des sociétés rurales françaises et québécoises XVIIe-XXe siècle, Paris, EHESS, Montréal, Presses de l'université de Montréal, 1986, 519 p., C 3576 ;C 3576 ;;2017;achat 12.17;histoire;vie rurale 18e 19e;;
[Collectif], Ecole pratique des hautes études - VIe section, Centre de recherches historiques, Mélanges de préhistoire, d'archéocivilisation et d'ethnologie offerts à André Varagnac, Paris, SEVPEN, 1971, 735 p. C 3575  ;C 3575 ;;2017;achat 12.17;ethnohistoire;;;
Crozet (René), Villes d'entre Loire et Gironde, Paris, Presses universitaires de France, 1949, 128 p., C 3574;C 3574;;2017;don Leveel;Touraine ;villes;;
Vivier (Jack), Pyrénées hostiles. Jeunes de Touraine sur le chemin de la liberté, (1940-1944), Chambray-lès-Tous, CLD, 1987, 123 p. C 3573;C 3573;;2017;don Leveel;Touraine;guerre 39-45;;
Babonaux (Yves), Le lit de la Loire. Etude d'hydrodynamique fluviale, Paris, Bibliothèque nationale 1970, 252 p. C 3572;C 3572;;2017;don médiathèque de Joué-lès-Tours;Touraine;Loire;;
[Collectif], Histoire religieuse de la Touraine, Chambray-lès-Tours, CLD Normand, 1975, 323 p. C 3571;C 3571;;2017;don médiathèque de Joué-lès-Tours;Touraine ;religion;;
Chevalier (abbé Casimir), Charlot (Grégoire), Etudes sur la Touraine, hydrographie, géologie, agronomie, statistique, Tours, chez Guilland-Verger libr.-éd., 1958, IV- 391 p., carte h.-t., C 3570;C 3570;;2017;don Leveel;Touraine;géographie historique;;
[Collectif], Annales de la Société d'agriculture, sciences, arts et belles-lettres du département d'Indre-et-Loire. Recueil du cent cinquantième anniversaire 1761-1911,in  Annales de la Société d'agriculture, sciences, arts et belles-lettres du département d'Indre-et-Loire, XCI, Tours, L. Péricat libr., 1911, 238 p. C 3569;C 3569;;2017;don Leveel;Touraine;société d'agriculture;;
Schweitz (Daniel), La coiffe et son imaginaire dans le folklore de la Touraine, Saint-Cyr-sur-Loire, Ed. Alan Sutton, 2002, 96 p., C 3568;C 3568;;2017;don Leveel;Touraine;coiffes;;
Le Rohellec (R. P. J.), Actes des Martyrs et des confesseurs de la Foi pendant la Révolution. Ecclésiastiques, religieux et religieuses exilés pour la foi dans les états pontificaux. Liste générale d'après les archives vaticanes, Tours, Alfred Mame éd., 1918, p. 188-419, C 3567;C 3567;;2017;don Leveel;Touraine;Révolution 1789;;
Duchesne (Alphonse), Luc-Loup-Cloud ou le petit botaniste de Fontenay. La podre de Perlipin. Le Plessis-lès-Tours. Histoire et nouvelles, Pont-à-Mousson, Hagenthal, Paris, Guérin-Muller, 1863, 101 p., C 3566;C 3566;;2017;don Leveel;Touraine;Plessis-lès-Tours;;
"Foy (L;), Le Peuple (en 1830), Paris, chez les marchands de nouveautés, 1837, 324 p., C 3565";C 3565;;2017;don Leveel;histoire;société;;
Châteaubriand (de), Mémoire sur la captivité de Mme la duchesse de Berry, Paris, Le Normant éd., 1833, 119 p., C 3564;C 3564;;2017;don Leveel;histoire;19e;;
[Anonyme], Recueil des administratifs de la préfecture d'Indre-et-Loire pour l'exercice 1842, Tours, Ad Mame et Cie, s. d. [1842], 328 p. C 3563;C 3563;;2017;don Leveel;Touraine;administration 1842;;
Chauvigné (Auguste), Monographie de Vouvray et de son vignoble, Tours, Péricat libr., s. d. [ca 1909] 196 p., pl. h.-t.,  C 3562;C 3562;;2017;don Leveel;Touraine;Vouvray;;
Boulanger (Jacques), Rabelais à travers les âges, compilation suivie d'une bibliographie sommaire […] d'une étude sur ses portraits et d'un examen de ses autographes, Paris, Le Divan, 1925, 244 p., C 3561;C 3561;;2017;don Leveel;Rabelais;œuvre;;
Halphen (Louis), Poupardin (René), Chroniques des comtes d'Anjou et des seigneurs d'Amboise, Paris, Auguste Picard éd., 1913, XCV-316 p., C 3560;C 3560;;2017;don Leveel;Touraine;Amboise;;
Marchegay (Paul), Salmon, Mabille (Emile), Chroniques des comtes d'Anjou, recueillies et publiées par la Société de l'histoire de France, Paris, chez Mme Veuve Jules Renouard, 1871, 434 p., C 3559;C 3559;;2017;don Leveel;Touraine;Amboise;;
Longuemar (de), Epigraphie du Haut Poitou, Poitiers, impr. A. Dupré, 1864, 98 p., pl. h.-t., C 3558;C 3558;;2017;don Leveel;Poitou;épigraphie;;
Merle (Louis), La formation territoriale du département des Deux-Sèvres. Etude de géographie historique, Niort, Société historique et scientifique des Deux-Sèvres, 1938, 308 p., C 3557;C 3557;;2017;don Leveel;Poitou;géographie historique;;
Bergevin (.), Dupré (A.), Histoire de Blois, Blois, chez E. Bézairs éd., 1846, t. I, 600 p., C 3556;C 3556;;2017;don Leveel;Blois;;;
Evêque d'Orléans, L'athéisme et le péril social, Paris, Charles Douniol libr.-éd., 1866, 194 p., C 3555;C 3555;;2017;don Leveel;histoire;religion;;
Guéranger, (RP Dom Prosper), La règle du Bienheureux Père saint Benoît, Angers, impr. P. Lachèse, Belleuvre et Dolbeau, 1868, 206 p., C 3554;C 3554;;2017;don Leveel;histoire;religion;;
Audard (E.), Bibliographie des travaux historiques du chanoine Louis Bosseboeuf, historiographe du diocèse de Tours, Tours, libr. Lemiale, 1939, 92 p., C 3553;C 3553;;2017;don Leveel;SAT;biographie;;
Le Touzé de Longuemar, Recherches archéologiques sur une partie de l'ancien pays des pictons. Mémoire sur la distribution topographique et la nature des monuments primitifs et des voies antiques dans le département de la Vienne, Bordeaux, impr. Libr. maison Lafargue,1863, 130 p., photocopies, C 3552;C 3552;;2017;don Leveel;Poitou;archéologie;;
Marot (Jean), L'ancien prieuré de Notz-l'Abbé (Indre), 1228-1791, Châteauroux, impr. Typo., 1931, 140 p., C 3551;C 3551;;2017;don Leveel;Berry;Notz-l'Abbé;;
Denis (abbé L.-J.), Histoire de la ville et du château de La Chartre-sur-le-Loir, La Chartre-sur-le-Loir, impr. libr. Aveline, 1965, 270 p., C 3550;C 3550;;2017;don Leveel;Maines;La Chartre-sur-le-Loir;;
Bouton (André), Le Maine, histoire économique et sociale au XIXe siècle. L'aube des temps nouveaux, Le Mans, l'auteur, 1974, 559 p., C 3549;C 3549;;2017;achat 11.17;Maine;société 19e;;
"Bouton (André), Le Maine, histoire économique et sociale des origines au XIVe siècle, Le Mans, l'auteur, 1974-1975, seconde édition revue et augmentée, 2 vol.; I - Les temps antiques, 1975, 220 p. ; II - Le Moyen Âge, 1976, 757 p., C 3548 1-2";C 3548 1-2;;2017;achat 11.17;Maine;Société MA et GR;;
Perez (Christian), Histoire du Pays mirebalais, des origines à nos jours,  s. l., éd. Sirius, 1986, 369 p., annexes [article de la NR et cartes postales 1900],  C 3547;C 3547;;2017;achat 11.17;Poitou;Mirebeau;;
Wycke (Gilbert), L'Adapei d'Indre-et-Loire fête ses 60 ans en 2017, Parçay-Meslay, Association départementale des amis et parents de personnes handicapées mentales d'Indre-et-Loire, 2017, 81 p., C 3546;C 3546;;2017;don Wycke;Touraine;social;;
Chevalier (Mgr Casimir), Tours capitale. La délégation gouvernementale et l'occupation prussienne (1870-1871), Tours, impr. Mame et fils, 1896, 349 p., C 3545 ;C 3545;;2017;don Leveel;Tours;guerre 1870;;
Pineau (Léon), Les contes populaires du Poitou, Poitiers, libr. Brissaud, 1989, 316 p. [rééd. Paris, Ernest Leroux, 1891, Collection de contes et de chansons populaires, XVI], C 3544;C 3544;;2017;achat 11.17;Poitou;contes;lycée Descartes;
Latour (Angèle de), et al., Rabelais un humanisme dévoilé, s. l., écomusée du Veron, 2017, 89 p., C 3543;C 3543;;2017;achat 11.17;Rabelais;œuvre;;
Brouard (Emmanuel), Au risque de la Loire. Vivre en vallée d'Anjou aux XVIIIe et XIXe siècles, s. l., l'auteur, 2017, 565 p., C 3542;C 3542;;2017;achat 11.17;Anjou;vie rurale 18e 19e;;
Mabille (Emile), Notice sur les divisions territoriales et la topographie de l'ancienne province de Touraine, Paris, libr. de Hénaux 1866, 219 p., photocopie, C 3541;C 3541;;2017;don Leveel;Touraine;géographie historique;;
Boissinot (Philippe), Qu'est-ce qu'un fait archéologique ?, Paris, éd. de l'EHESS, 2015, 366 p., C 3540;C 3540;;2017;achat 11.17;méthodologie archéologie;faits archéologiques;;
Dontenville (Henri), Histoire et géographie mythiques de la France, Paris, G.-P. Maisonneuve et Larose, 1973, 378 p., C 3539;C 3539;;2017;achat 11.17;Touraine;traditions;Gargantua;
Cougny (Gustave de), Chinon et ses environs, Marseille, Laffitte Reprints, 1977 [réimpression de Tours, 1898), XV-567 p., pl. h.-t., C 3538;C 3538;;2017;don Leveel;Touraine;Chinon;;
Cougny (Gustave de), Chinon et ses monuments. Notice archéologique. Deuxième édition, Chinon, impr. G. Avisse, 1874, 123 p., pl. h.-t., C 3537;C 3537;;2017;don Leveel;Touraine;Chinon;;
Mineau (R.), Racinoux (L.), La Vienne légendaire et mythologique […]. Nouvelle édition revue, corrigée et augmentée par L. Racinoux et Y. B. Brissaud, Poitiers, Libr. Brissaud, 1995, 398 p., C 3536;C 3536;;2017;achat 10.17;Poitou;traditions;;
Valière (Michel) et al., Un jour qui leur appartient… Quelques coutumes de mariage en Limousin (Haute-Vienne) dans la première moitié du XXe siècle, Saint-Junien, AICARPA, Laurière, AFRPA, 1995, 94 p., C 3535;C 3535;;2017;achat 10.17;Poitou;traditions;;
Bodin (J.-F.), Recherches historiques sur la ville d'Angers, ses monuments et ceux du Bas-Anjou par J.-F. Bodin , receveur-particulier de Saumur, département de Maine-et-Loire, avec gravures dessonées par l'auteur. Seconde édition. Revue et considérablement augmentée par P. G., t. 2, Saumur, chez Dubosse libr., P. Godet impr., 1846, X-698 p., pl. h.-t., C 3534;C 3534;;2007;don Leveel;Anjou;Saumur;;
Berton (Adrien), Qui est qui en Touraine, Chemillé-sur-Indrois, éd. Hugues de Chivré, 2009, 187 p., C 3533;C 3533;;2007;don Leveel;Touraine;personnalité;;
Broquelet (A.), Brégeaut (L.), Manuel complet de l'imprimeur lithographe à la presse à bras et à la machine, Paris, Lobrairie Garnier frères, n. d. [début XXe siècle), 367 p., C 3532;C 3532;;2017;achat 10.17;méthodologie imprimerie;;;
